birth,death,dim
0.000000000000000000e+00,4.126327514648437500e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.288367748260498047e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.483547210693359375e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.494406700134277344e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.604560852050781250e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.766636848449707031e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.883667469024658203e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.951835632324218750e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.016076564788818359e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.421512126922607422e+00,0.000000000000000000e+00
4.835830211639404297e+00,4.913219928741455078e+00,1.000000000000000000e+00
4.402582645416259766e+00,4.439029216766357422e+00,1.000000000000000000e+00
3.993076324462890625e+00,4.009455680847167969e+00,1.000000000000000000e+00
3.978422641754150391e+00,4.004103660583496094e+00,1.000000000000000000e+00
3.967015504837036133e+00,4.035012722015380859e+00,1.000000000000000000e+00
3.825567483901977539e+00,3.830759048461914062e+00,1.000000000000000000e+00
3.801421642303466797e+00,4.153974533081054688e+00,1.000000000000000000e+00
3.650395393371582031e+00,4.117492675781250000e+00,1.000000000000000000e+00
3.354737997055053711e+00,3.364059209823608398e+00,1.000000000000000000e+00
3.339889049530029297e+00,3.371916294097900391e+00,1.000000000000000000e+00
3.320295572280883789e+00,3.400833129882812500e+00,1.000000000000000000e+00
3.318267822265625000e+00,3.333439350128173828e+00,1.000000000000000000e+00
3.285032272338867188e+00,3.311126947402954102e+00,1.000000000000000000e+00
3.258612155914306641e+00,3.305226564407348633e+00,1.000000000000000000e+00
3.186446189880371094e+00,3.291816949844360352e+00,1.000000000000000000e+00
2.950161218643188477e+00,2.975990772247314453e+00,1.000000000000000000e+00
2.332615613937377930e+00,2.351992130279541016e+00,1.000000000000000000e+00
1.994363546371459961e+00,2.014333963394165039e+00,1.000000000000000000e+00
1.926237940788269043e+00,2.030802488327026367e+00,1.000000000000000000e+00
1.490649342536926270e+00,1.589209914207458496e+00,1.000000000000000000e+00
1.423486828804016113e+00,1.469310045242309570e+00,1.000000000000000000e+00
1.422508478164672852e+00,1.424137592315673828e+00,1.000000000000000000e+00
1.420553445816040039e+00,1.457889676094055176e+00,1.000000000000000000e+00
1.290990471839904785e+00,1.343660235404968262e+00,1.000000000000000000e+00
1.154610157012939453e+00,1.287276625633239746e+00,1.000000000000000000e+00
5.048214197158813477e-01,5.272841453552246094e-01,1.000000000000000000e+00
2.326628565788269043e-01,2.398370504379272461e-01,1.000000000000000000e+00
